title,year,tags,type_of_document,origin_of_document,caption,authors_of_document,collections,thumbs,url
Portefeuille projets Lab IA,2022,"[ ""Émile Marzolf"", ""Romain Boucher"", ""PA Chevalier"", ""Hubert Guillaud"" ]",portfolio,Etalab (site web),Lauréats des Appels à Manifestations d'Intérêts 2019 et 2020 du LabIA d'Etalab.,Etalab,"[ ""3.5. Justifier les projets d’IA "", ""1.1. Définir l'IA"", ""2.5. Instrumenter l'action publique"", ""3.2. Expérimenter l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/docs-romain-boucher-page-15-3.jpg.180.jpeg?v=1654809398818"",""size"":180},{""path"":""_thumbs/shaping-ai/docs-romain-boucher-page-15-3.jpg.360.jpeg?v=1654809398863"",""size"":360},{""path"":""_thumbs/shaping-ai/docs-romain-boucher-page-15-3.jpg.600.jpeg?v=1654809398882"",""size"":600},{""path"":""_thumbs/shaping-ai/docs-romain-boucher-page-15-3.jpg.800.jpeg?v=1654809398957"",""size"":800},{""path"":""_thumbs/shaping-ai/docs-romain-boucher-page-15-3.jpg.1600.jpeg?v=1654809399314"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_231201-4vn
Présentation Etalab 2013,2013,"[ ""PA Chevalier"" ]",communiqué,Etalab,"Présentation de Etalab en 2013: Au sein du Secrétariat général pour la modernisation de l’action publique, Etalab coordonne l’action des services de l’Etat et de ses établissements publics pour faciliter la réutilisation la plus large possible de leurs informations publiques.",Etalab,"[ ""4.2. Chaînes de valeur de la donnée"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/05.pdf.0.png.180.jpeg?v=1654768019357"",""size"":180},{""path"":""_thumbs/shaping-ai/05.pdf.0.png.360.jpeg?v=1654768019419"",""size"":360},{""path"":""_thumbs/shaping-ai/05.pdf.0.png.600.jpeg?v=1654768019404"",""size"":600},{""path"":""_thumbs/shaping-ai/05.pdf.0.png.800.jpeg?v=1654768019526"",""size"":800},{""path"":""_thumbs/shaping-ai/05.pdf.0.png.1600.jpeg?v=1654768019500"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_114642-fpf
Pseudonymisation par l'IA - guide pratique,2022,"[ ""Sumi Saint-Auguste"", ""Hugo Ruggieri"" ]",guide,guides.etalab,"Guide pratique / documentation du processus de pseudonymisation (formater les données annotées, tokeniser le texte, entraîner son modèle, valider ses résultats...)",Etalab,"[ ""4.2. Chaînes de valeur de la donnée"", ""2.5. Instrumenter l'action publique"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/sumi-docs-21.pdf.0.png.180.jpeg?v=1654804645304"",""size"":180},{""path"":""_thumbs/shaping-ai/sumi-docs-21.pdf.0.png.360.jpeg?v=1654804645346"",""size"":360},{""path"":""_thumbs/shaping-ai/sumi-docs-21.pdf.0.png.600.jpeg?v=1654804645330"",""size"":600},{""path"":""_thumbs/shaping-ai/sumi-docs-21.pdf.0.png.800.jpeg?v=1654804645447"",""size"":800},{""path"":""_thumbs/shaping-ai/sumi-docs-21.pdf.0.png.1600.jpeg?v=1654804645417"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_215708-n03
Rapport de la mission Etalab sur les conditions d’ouverture du système APB,2017,"[ ""Hubert Guillaud"" ]",rapport,Etalab,"Evalution du système Admission Post-Bac, successeur de Parcours Sup, demandé par le Premier Ministre à Etalab","Etalab (Christophe Benz, Simon Chignard, Laurent Joubert, Laure Lucchesi, Thomas Menant, Jill-Jênn Vie).","[ ""2.3. Ouvrir les boîtes noires"", ""0. Des modes de participation à l'IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/20170420-rapport-etalab-missionapb-vf.pdf.0.png.180.jpeg?v=1654521621031"",""size"":180},{""path"":""_thumbs/shaping-ai/20170420-rapport-etalab-missionapb-vf.pdf.0.png.360.jpeg?v=1654521621183"",""size"":360},{""path"":""_thumbs/shaping-ai/20170420-rapport-etalab-missionapb-vf.pdf.0.png.600.jpeg?v=1654521621228"",""size"":600},{""path"":""_thumbs/shaping-ai/20170420-rapport-etalab-missionapb-vf.pdf.0.png.800.jpeg?v=1654521621272"",""size"":800},{""path"":""_thumbs/shaping-ai/20170420-rapport-etalab-missionapb-vf.pdf.0.png.1600.jpeg?v=1654521621004"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_151824-4bc
What is a Language Resource ?,2022,"[ ""Eric Gaussier"" ]",dataset,Site de la ELRA,"Définition de ce qu'est une ""Language Resource"" par la European Language Resources Association (ELRA)",European Language Resources Association,"[ ""1.2. Mettre en données le monde"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/elra-what-is-a-language-resource.pdf.0.png.180.jpeg?v=1654175743536"",""size"":180},{""path"":""_thumbs/shaping-ai/elra-what-is-a-language-resource.pdf.0.png.360.jpeg?v=1654175743681"",""size"":360},{""path"":""_thumbs/shaping-ai/elra-what-is-a-language-resource.pdf.0.png.600.jpeg?v=1654175743706"",""size"":600},{""path"":""_thumbs/shaping-ai/elra-what-is-a-language-resource.pdf.0.png.800.jpeg?v=1654175743828"",""size"":800},{""path"":""_thumbs/shaping-ai/elra-what-is-a-language-resource.pdf.0.png.1600.jpeg?v=1654175743526"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_151509-dxv
IA et réforme de l’État : vers des bureaucraties sans humains ?,2021,"[ ""Félix Tréguer"" ]",essai,AOC,AOC,Félix Tréguer,"[ ""2.1. Performer le social"", ""2.5. Instrumenter l'action publique"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/ia-et-re-forme-de-le-tat-vers-des-bureaucraties-sans-humains-aoc-media-analyse-opinion-critique.pdf.0.png.180.jpeg?v=1654589716225"",""size"":180},{""path"":""_thumbs/shaping-ai/ia-et-re-forme-de-le-tat-vers-des-bureaucraties-sans-humains-aoc-media-analyse-opinion-critique.pdf.0.png.360.jpeg?v=1654589716342"",""size"":360},{""path"":""_thumbs/shaping-ai/ia-et-re-forme-de-le-tat-vers-des-bureaucraties-sans-humains-aoc-media-analyse-opinion-critique.pdf.0.png.600.jpeg?v=1654589716349"",""size"":600},{""path"":""_thumbs/shaping-ai/ia-et-re-forme-de-le-tat-vers-des-bureaucraties-sans-humains-aoc-media-analyse-opinion-critique.pdf.0.png.800.jpeg?v=1654589716469"",""size"":800},{""path"":""_thumbs/shaping-ai/ia-et-re-forme-de-le-tat-vers-des-bureaucraties-sans-humains-aoc-media-analyse-opinion-critique.pdf.0.png.1600.jpeg?v=1654589716191"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220607_101506-8sl
L'utopie déchue. Une contre-histoire d'Internet. XVe-XXIe siècle,2019,"[ ""Dominique Cardon"" ]",livre,Fayard,Livre de Félix Tréguer qui propose une contre-histoire d'Internet,Félix Tréguer,"[ ""2.2. Produire une critique de l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/treguer-lutopie-dechue.pdf.0.png.180.jpeg?v=1653986019833"",""size"":180},{""path"":""_thumbs/shaping-ai/treguer-lutopie-dechue.pdf.0.png.360.jpeg?v=1653986019984"",""size"":360},{""path"":""_thumbs/shaping-ai/treguer-lutopie-dechue.pdf.0.png.600.jpeg?v=1653986020021"",""size"":600},{""path"":""_thumbs/shaping-ai/treguer-lutopie-dechue.pdf.0.png.800.jpeg?v=1653986020023"",""size"":800},{""path"":""_thumbs/shaping-ai/treguer-lutopie-dechue.pdf.0.png.1600.jpeg?v=1653986019944"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220531_103328-6th
France Cadastre,2022,"[ ""Damien Robinet"" ]",interface,France Cadastre,Page d'accueil du site marchand France Cadastre,France Cadastre,"[ ""4.2. Chaînes de valeur de la donnée"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/france-cadastre.pdf.0.png.180.jpeg?v=1654807839393"",""size"":180},{""path"":""_thumbs/shaping-ai/france-cadastre.pdf.0.png.360.jpeg?v=1654807839441"",""size"":360},{""path"":""_thumbs/shaping-ai/france-cadastre.pdf.0.png.600.jpeg?v=1654807839434"",""size"":600},{""path"":""_thumbs/shaping-ai/france-cadastre.pdf.0.png.800.jpeg?v=1654807839436"",""size"":800},{""path"":""_thumbs/shaping-ai/france-cadastre.pdf.0.png.1600.jpeg?v=1654807839621"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_225007-89q
Réseau Legal Tech | France Digitale,2021,"[ ""Hugo Ruggieri"", ""Sumi Saint-Auguste"" ]",article de blog,Blog de l'innovation du droit,,France Digitale,"[ ""3.1. Appliquer l'IA (de la recherche au business)"", ""4.2. Chaînes de valeur de la donnée"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/france-digitale-legaltech.pdf.0.png.180.jpeg?v=1688220432161"",""size"":180},{""path"":""_thumbs/shaping-ai/france-digitale-legaltech.pdf.0.png.360.jpeg?v=1688220432203"",""size"":360},{""path"":""_thumbs/shaping-ai/france-digitale-legaltech.pdf.0.png.600.jpeg?v=1688220432190"",""size"":600},{""path"":""_thumbs/shaping-ai/france-digitale-legaltech.pdf.0.png.800.jpeg?v=1688220432312"",""size"":800},{""path"":""_thumbs/shaping-ai/france-digitale-legaltech.pdf.0.png.1600.jpeg?v=1688220432281"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_160703-52n
Technocritiques Du refus des machines à la contestation des technosciences,2016,"[ ""Félix Tréguer"" ]",livre,,,François Jarrige,"[ ""0. Des modes de participation à l'IA"", ""2.2. Produire une critique de l’IA"", ""1.4. Écologiser l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/jarrige.pdf.0.png.180.jpeg?v=1654589970717"",""size"":180},{""path"":""_thumbs/shaping-ai/jarrige.pdf.0.png.360.jpeg?v=1654589970869"",""size"":360},{""path"":""_thumbs/shaping-ai/jarrige.pdf.0.png.600.jpeg?v=1654589970893"",""size"":600},{""path"":""_thumbs/shaping-ai/jarrige.pdf.0.png.800.jpeg?v=1654589971010"",""size"":800},{""path"":""_thumbs/shaping-ai/jarrige.pdf.0.png.1600.jpeg?v=1654589970720"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220607_101921-x8p
Sureau - Sans la liberté,2019,"[ ""Félix Tréguer"" ]",livre,,"François Sureau, Sans la liberté, Tracts Gallimard, 2019.",François Sureau,"[ ""2.4. Réguler l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/sureau.pdf.0.png.180.jpeg?v=1654874821218"",""size"":180},{""path"":""_thumbs/shaping-ai/sureau.pdf.0.png.360.jpeg?v=1654874821282"",""size"":360},{""path"":""_thumbs/shaping-ai/sureau.pdf.0.png.600.jpeg?v=1654874821264"",""size"":600},{""path"":""_thumbs/shaping-ai/sureau.pdf.0.png.800.jpeg?v=1654874821279"",""size"":800},{""path"":""_thumbs/shaping-ai/sureau.pdf.0.png.1600.jpeg?v=1654874821460"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220610_172652-77m
Extrait de thèse Frédéric Bardolle,2018,"[ ""Frédéric Bardolle"" ]",thèse de doctorat,,"Extrait de la thèse de doctorat en géophyique de F Bardolle, dont l'objectif est de ""proposer un outil de modélisation systémique fournissant des informations sur le fonctionnement physique des hydrosystèmes, tout en étant simple et parcimonieux. Ce modèle nommé MASH (pour Modélisation des Hydrosystèmes par Approche Systémique) est basé sur l’utilisation de fonctions de transfert paramétriques choisies en fonction de leur faible paramétrisation, leur caractère général et leur interprétation physique. """,Frédéric Bardolle,"[ ""1.3. Modéliser"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/copie-de-these-groundtruth.pdf.0.png.180.jpeg?v=1654966918124"",""size"":180},{""path"":""_thumbs/shaping-ai/copie-de-these-groundtruth.pdf.0.png.360.jpeg?v=1654966918161"",""size"":360},{""path"":""_thumbs/shaping-ai/copie-de-these-groundtruth.pdf.0.png.600.jpeg?v=1654966918138"",""size"":600},{""path"":""_thumbs/shaping-ai/copie-de-these-groundtruth.pdf.0.png.800.jpeg?v=1654966918258"",""size"":800},{""path"":""_thumbs/shaping-ai/copie-de-these-groundtruth.pdf.0.png.1600.jpeg?v=1654966918219"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_190142-pzz
Podcast Hackers Publics,2021,"[ ""Frédéric Bardolle"" ]",podcast,Apple Podcast,Série podcast sur celles et ceux qui transforment la culture numérique de l’administration.,Frédéric Bardolle,"[ ""2.5. Instrumenter l'action publique"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/liste-podcasts.pdf.0.png.180.jpeg?v=1666618769858"",""size"":180},{""path"":""_thumbs/shaping-ai/liste-podcasts.pdf.0.png.360.jpeg?v=1666618769912"",""size"":360},{""path"":""_thumbs/shaping-ai/liste-podcasts.pdf.0.png.600.jpeg?v=1666618769895"",""size"":600},{""path"":""_thumbs/shaping-ai/liste-podcasts.pdf.0.png.800.jpeg?v=1666618769910"",""size"":800},{""path"":""_thumbs/shaping-ai/liste-podcasts.pdf.0.png.1600.jpeg?v=1666618770067"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20221024_153752-xs6
"L'imagerie médicale, fleuron de l'IA française",2021,"[ ""Ninon Burgos"" ]",article (presse spécialisée),Site de French Healthcare,Post de French Healthcare à propos de l'intérêt de combiner imagerie médicale et IA face à la chute du nombre de radiologues,French Healthcare,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"", ""3.1. Appliquer l'IA (de la recherche au business)"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/french-healthcare-limagerie-medicale-fleuron-de-lia-francaise.pdf.0.png.180.jpeg?v=1654789156173"",""size"":180},{""path"":""_thumbs/shaping-ai/french-healthcare-limagerie-medicale-fleuron-de-lia-francaise.pdf.0.png.360.jpeg?v=1654789156240"",""size"":360},{""path"":""_thumbs/shaping-ai/french-healthcare-limagerie-medicale-fleuron-de-lia-francaise.pdf.0.png.600.jpeg?v=1654789156208"",""size"":600},{""path"":""_thumbs/shaping-ai/french-healthcare-limagerie-medicale-fleuron-de-lia-francaise.pdf.0.png.800.jpeg?v=1654789156353"",""size"":800},{""path"":""_thumbs/shaping-ai/french-healthcare-limagerie-medicale-fleuron-de-lia-francaise.pdf.0.png.1600.jpeg?v=1654789156310"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_173814-t4p
What is synthetic data,2021,"[ ""Ninon Burgos"" ]",article (presse spécialisée),Nvidia,Utilisation et génération de données synthétiques pour l'entraînement de modèles,G. Andrews,"[ ""1.2. Mettre en données le monde"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/pre-sentation-sans-titre.pdf.0.png.180.jpeg?v=1687964737163"",""size"":180},{""path"":""_thumbs/shaping-ai/pre-sentation-sans-titre.pdf.0.png.360.jpeg?v=1687964737164"",""size"":360},{""path"":""_thumbs/shaping-ai/pre-sentation-sans-titre.pdf.0.png.600.jpeg?v=1687964737224"",""size"":600},{""path"":""_thumbs/shaping-ai/pre-sentation-sans-titre.pdf.0.png.800.jpeg?v=1687964737167"",""size"":800},{""path"":""_thumbs/shaping-ai/pre-sentation-sans-titre.pdf.0.png.1600.jpeg?v=1687964737797"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230628_170428-q5l
Cycle Afrocyberféminisme - Gaité Lyrique,2018,"[ ""Marie Lechner"" ]",programme,Gaité Lyrique (site),Cycle de conférences,Gaité Lyrique,"[ ""1.2. Mettre en données le monde"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/gai-te-lyrique-afrocyberfe-minismes.pdf.0.png.180.jpeg?v=1654809525192"",""size"":180},{""path"":""_thumbs/shaping-ai/gai-te-lyrique-afrocyberfe-minismes.pdf.0.png.360.jpeg?v=1654809525222"",""size"":360},{""path"":""_thumbs/shaping-ai/gai-te-lyrique-afrocyberfe-minismes.pdf.0.png.600.jpeg?v=1654809525199"",""size"":600},{""path"":""_thumbs/shaping-ai/gai-te-lyrique-afrocyberfe-minismes.pdf.0.png.800.jpeg?v=1654809525348"",""size"":800},{""path"":""_thumbs/shaping-ai/gai-te-lyrique-afrocyberfe-minismes.pdf.0.png.1600.jpeg?v=1654809525307"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_231824-otx
Deep Learning is Hitting a Wall,2022,"[ ""Dominique Cardon"" ]",essai,Nautilus,Tribune de Gary Marcus à propos des limites du deep learning,Gary Marcus,"[ ""1.2. Mettre en données le monde"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/marcus-deep-learning-is-hitting-a-wall.pdf.0.png.180.jpeg?v=1653985213888"",""size"":180},{""path"":""_thumbs/shaping-ai/marcus-deep-learning-is-hitting-a-wall.pdf.0.png.360.jpeg?v=1653985214035"",""size"":360},{""path"":""_thumbs/shaping-ai/marcus-deep-learning-is-hitting-a-wall.pdf.0.png.600.jpeg?v=1653985214066"",""size"":600},{""path"":""_thumbs/shaping-ai/marcus-deep-learning-is-hitting-a-wall.pdf.0.png.800.jpeg?v=1653985214166"",""size"":800},{""path"":""_thumbs/shaping-ai/marcus-deep-learning-is-hitting-a-wall.pdf.0.png.1600.jpeg?v=1653985213882"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220531_101957-ty7
Echange de tweets entre Gary Marcus et Yann Le Cun,2018,"[ ""Dominique Cardon"" ]",tweet,Twitter,Echange de tweets entre Gary Marcus et Yann Le Cun à propos,Gary Marcus & Yann Le Cun,"[ ""1.5. Institutionnaliser l'IA comme discipline"", ""2.1. Performer le social"", ""1.1. Définir l'IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/tweets-marcus-lecun.pdf.0.png.180.jpeg?v=1653925982779"",""size"":180},{""path"":""_thumbs/shaping-ai/tweets-marcus-lecun.pdf.0.png.360.jpeg?v=1653925982926"",""size"":360},{""path"":""_thumbs/shaping-ai/tweets-marcus-lecun.pdf.0.png.600.jpeg?v=1653925982956"",""size"":600},{""path"":""_thumbs/shaping-ai/tweets-marcus-lecun.pdf.0.png.800.jpeg?v=1653925983055"",""size"":800},{""path"":""_thumbs/shaping-ai/tweets-marcus-lecun.pdf.0.png.1600.jpeg?v=1653925982786"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_175235-v6v
La controverse de la 5G,2020,"[ ""Félix Tréguer"" ]",rapport,,,Gauthier Roussilhe,"[ ""0. Des modes de participation à l'IA"", ""2.2. Produire une critique de l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/5g-juillet2020.pdf.0.png.180.jpeg?v=1654338465300"",""size"":180},{""path"":""_thumbs/shaping-ai/5g-juillet2020.pdf.0.png.360.jpeg?v=1654338465504"",""size"":360},{""path"":""_thumbs/shaping-ai/5g-juillet2020.pdf.0.png.600.jpeg?v=1654338465481"",""size"":600},{""path"":""_thumbs/shaping-ai/5g-juillet2020.pdf.0.png.800.jpeg?v=1654338465536"",""size"":800},{""path"":""_thumbs/shaping-ai/5g-juillet2020.pdf.0.png.1600.jpeg?v=1654338465401"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220604_122723-hp5
Projet REACH : Raising Co-creativity in Cyber-Human Musicianship,2019,"[ ""Hugo Scurto"" ]",présentation (recherche),,Présentation de l'ERC de Gérard Assayag à l'IRCAM sur la co-créativité entre musiciens humains et agents artificiels.,Gérard Assayag,"[ ""1.3. Modéliser"", ""1.5. Institutionnaliser l'IA comme discipline"", ""3.1. Appliquer l'IA (de la recherche au business)"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/copie-de-reach-ircam.pdf.0.png.180.jpeg?v=1654966488498"",""size"":180},{""path"":""_thumbs/shaping-ai/copie-de-reach-ircam.pdf.0.png.360.jpeg?v=1654966488540"",""size"":360},{""path"":""_thumbs/shaping-ai/copie-de-reach-ircam.pdf.0.png.600.jpeg?v=1654966488515"",""size"":600},{""path"":""_thumbs/shaping-ai/copie-de-reach-ircam.pdf.0.png.800.jpeg?v=1654966488642"",""size"":800},{""path"":""_thumbs/shaping-ai/copie-de-reach-ircam.pdf.0.png.1600.jpeg?v=1654966488614"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_185436-ebl
Edward Snowden lanceur d'alerte (article de The Guardian),2013,"[ ""Hubert Guillaud"" ]",article de presse,Guradian,"Article de The Guardian présentant Edward Snowden, la source des fuites des documents sur la surveillance de la NSA","Glenn Greenwald, Ewen MacAskill, Laura Poitras","[ ""1.1. Définir l'IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/p2-felix-snowdenguardian.pdf.0.png.180.jpeg?v=1654526733820"",""size"":180},{""path"":""_thumbs/shaping-ai/p2-felix-snowdenguardian.pdf.0.png.360.jpeg?v=1654526733971"",""size"":360},{""path"":""_thumbs/shaping-ai/p2-felix-snowdenguardian.pdf.0.png.600.jpeg?v=1654526733991"",""size"":600},{""path"":""_thumbs/shaping-ai/p2-felix-snowdenguardian.pdf.0.png.800.jpeg?v=1654526734095"",""size"":800},{""path"":""_thumbs/shaping-ai/p2-felix-snowdenguardian.pdf.0.png.1600.jpeg?v=1654526733823"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_164517-lei
CLODO - Comité de libération et détournement d'ordinateurs,2022,"[ ""Félix Tréguer"" ]",database,Global Terrorism Database,"Global Terrorism Database - sabotage du Comité de libération et détournement d'ordinateurs CLODO (Toulouse, 1983)",Global Terrorism Datase,"[ ""2.4. Réguler l’IA"", ""2.2. Produire une critique de l’IA"", ""1.4. Écologiser l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/p2-fe-lix-a4-18.pdf.0.png.180.jpeg?v=1654873825885"",""size"":180},{""path"":""_thumbs/shaping-ai/p2-fe-lix-a4-18.pdf.0.png.360.jpeg?v=1654873825946"",""size"":360},{""path"":""_thumbs/shaping-ai/p2-fe-lix-a4-18.pdf.0.png.600.jpeg?v=1654873825935"",""size"":600},{""path"":""_thumbs/shaping-ai/p2-fe-lix-a4-18.pdf.0.png.800.jpeg?v=1654873825950"",""size"":800},{""path"":""_thumbs/shaping-ai/p2-fe-lix-a4-18.pdf.0.png.1600.jpeg?v=1654873826152"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220610_171010-9g1
AI for Humanity - Présentation stratégie IA 2018,2018,"[ ""PA Chevalier"" ]",stratégie,AI for Humanity,"Présentation de la stratégie IA d'Emmanuel Macron (2018), issue du rapport Villani.",Gouvernement français,"[ ""1.5. Institutionnaliser l'IA comme discipline"", ""3.2. Expérimenter l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/ai-for-humanity.pdf.0.png.180.jpeg?v=1654768446502"",""size"":180},{""path"":""_thumbs/shaping-ai/ai-for-humanity.pdf.0.png.360.jpeg?v=1654768446539"",""size"":360},{""path"":""_thumbs/shaping-ai/ai-for-humanity.pdf.0.png.600.jpeg?v=1654768446515"",""size"":600},{""path"":""_thumbs/shaping-ai/ai-for-humanity.pdf.0.png.800.jpeg?v=1654768446678"",""size"":800},{""path"":""_thumbs/shaping-ai/ai-for-humanity.pdf.0.png.1600.jpeg?v=1654768446643"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_115347-tq2
La French Tech : une ambition collective pour les start-up françaises,2021,"[ ""Lucie Ronfaut"" ]",communiqué,Site du Gouvernement français,"Chronologie et présentation de l'initiative ""La French Tech""",Gouvernement français,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/timeline-frenchtech.pdf.0.png.180.jpeg?v=1654952353047"",""size"":180},{""path"":""_thumbs/shaping-ai/timeline-frenchtech.pdf.0.png.360.jpeg?v=1654952353062"",""size"":360},{""path"":""_thumbs/shaping-ai/timeline-frenchtech.pdf.0.png.600.jpeg?v=1654952353051"",""size"":600},{""path"":""_thumbs/shaping-ai/timeline-frenchtech.pdf.0.png.800.jpeg?v=1654952353196"",""size"":800},{""path"":""_thumbs/shaping-ai/timeline-frenchtech.pdf.0.png.1600.jpeg?v=1654952353135"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_145850-68x
Wizard of Oz,1985,"[ ""RYBN"" ]",article scientifique,University of Michigan,,"Green, Wei-Haas","[ ""2.1. Performer le social"", ""3.2. Expérimenter l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/71952-0001-001.pdf.0.png.180.jpeg?v=1654790164500"",""size"":180},{""path"":""_thumbs/shaping-ai/71952-0001-001.pdf.0.png.360.jpeg?v=1654790164545"",""size"":360},{""path"":""_thumbs/shaping-ai/71952-0001-001.pdf.0.png.600.jpeg?v=1654790164522"",""size"":600},{""path"":""_thumbs/shaping-ai/71952-0001-001.pdf.0.png.800.jpeg?v=1654790164683"",""size"":800},{""path"":""_thumbs/shaping-ai/71952-0001-001.pdf.0.png.1600.jpeg?v=1654790164640"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_175506-4oe
Journées plénières 2021 du GDR IA,2021,"[ ""Cédric Buron"" ]",programme,Site du GDR IA,Programme de l'édition 2021 des journées plénières du GDR IA,Groupe de Recherche IA / CNRS,"[ ""1.1. Définir l'IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/journees-plenieres-2021-gdr-ia.pdf.0.png.180.jpeg?v=1654171836321"",""size"":180},{""path"":""_thumbs/shaping-ai/journees-plenieres-2021-gdr-ia.pdf.0.png.360.jpeg?v=1654171836468"",""size"":360},{""path"":""_thumbs/shaping-ai/journees-plenieres-2021-gdr-ia.pdf.0.png.600.jpeg?v=1654171836495"",""size"":600},{""path"":""_thumbs/shaping-ai/journees-plenieres-2021-gdr-ia.pdf.0.png.800.jpeg?v=1654171836489"",""size"":800},{""path"":""_thumbs/shaping-ai/journees-plenieres-2021-gdr-ia.pdf.0.png.1600.jpeg?v=1654171836417"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_141016-k76
